"","moduleLabel","moduleColor","ensembl_id_TH","ensembl_id","entrez"
"A1BG",0,"grey","ENSG00000121410.11","ENSG00000121410",1
"A1BG-AS1",0,"grey","ENSG00000268895.5","ENSG00000268895",503538
"A1CF",0,"grey","ENSG00000148584.14","ENSG00000148584",29974
"A2M",22,"darkgreen","ENSG00000175899.14","ENSG00000175899",2
"A2M-AS1",0,"grey","ENSG00000245105.2","ENSG00000245105",144571
"A2ML1",0,"grey","ENSG00000166535.19","ENSG00000166535",144568
"A2MP1",0,"grey","ENSG00000256069.7","ENSG00000256069",3
"A3GALT2",0,"grey","ENSG00000184389.9","ENSG00000184389",127550
"A4GALT",0,"grey","ENSG00000128274.15","ENSG00000128274",53947
"A4GNT",0,"grey","ENSG00000118017.3","ENSG00000118017",51146
"AAAS",0,"grey","ENSG00000094914.12","ENSG00000094914",8086
"AACS",0,"grey","ENSG00000081760.16","ENSG00000081760",65985
"AACSP1",0,"grey","ENSG00000250420.8","ENSG00000250420",729522
"AADACP1",0,"grey","ENSG00000240602.7","ENSG00000240602",201651
"AADAT",0,"grey","ENSG00000109576.13","ENSG00000109576",51166
"AAED1",0,"grey","ENSG00000158122.11","ENSG00000158122",195827
"AAGAB",0,"grey","ENSG00000103591.12","ENSG00000103591",79719
"AAK1",7,"black","ENSG00000115977.18","ENSG00000115977",22848
"AAMDC",0,"grey","ENSG00000087884.14","ENSG00000087884",28971
"AAMP",0,"grey","ENSG00000127837.9","ENSG00000127837",14
"AANAT",0,"grey","ENSG00000129673.9","ENSG00000129673",15
"AAR2",0,"grey","ENSG00000131043.11","ENSG00000131043",25980
"AARD",0,"grey","ENSG00000205002.3","ENSG00000205002",441376
"AARS",0,"grey","ENSG00000090861.15","ENSG00000090861",16
"AARS2",0,"grey","ENSG00000124608.4","ENSG00000124608",57505
"AARSD1",0,"grey","ENSG00000266967.6","ENSG00000266967",80755
"AASDH",6,"red","ENSG00000157426.13","ENSG00000157426",132949
"AASDHPPT",6,"red","ENSG00000149313.10","ENSG00000149313",60496
"AASS",0,"grey","ENSG00000008311.14","ENSG00000008311",10157
"AATBC",0,"grey","ENSG00000215458.8","ENSG00000215458",284837
"AATF",0,"grey","ENSG00000275700.4","ENSG00000275700",26574
"AATK",0,"grey","ENSG00000181409.11","ENSG00000181409",9625
"AATK-AS1",0,"grey","ENSG00000225180.6","ENSG00000225180",388428
"ABALON",0,"grey","ENSG00000281376.1","ENSG00000281376",103021294
"ABAT",0,"grey","ENSG00000183044.11","ENSG00000183044",18
"ABCA1",0,"grey","ENSG00000165029.15","ENSG00000165029",19
"ABCA10",0,"grey","ENSG00000154263.17","ENSG00000154263",10349
"ABCA11P",0,"grey","ENSG00000251595.7","ENSG00000251595",79963
"ABCA12",0,"grey","ENSG00000144452.14","ENSG00000144452",26154
"ABCA13",0,"grey","ENSG00000179869.14","ENSG00000179869",154664
"ABCA17P",0,"grey","ENSG00000238098.8","ENSG00000238098",650655
"ABCA2",0,"grey","ENSG00000107331.16","ENSG00000107331",20
"ABCA3",0,"grey","ENSG00000167972.13","ENSG00000167972",21
"ABCA4",0,"grey","ENSG00000198691.11","ENSG00000198691",24
"ABCA5",0,"grey","ENSG00000154265.15","ENSG00000154265",23461
"ABCA6",0,"grey","ENSG00000154262.12","ENSG00000154262",23460
"ABCA7",0,"grey","ENSG00000064687.12","ENSG00000064687",10347
"ABCA8",0,"grey","ENSG00000141338.13","ENSG00000141338",10351
"ABCA9",0,"grey","ENSG00000154258.16","ENSG00000154258",10350
"ABCA9-AS1",0,"grey","ENSG00000231749.3","ENSG00000231749",104355297
"ABCB1",0,"grey","ENSG00000085563.14","ENSG00000085563",5243
"ABCB10",6,"red","ENSG00000135776.4","ENSG00000135776",23456
"ABCB4",0,"grey","ENSG00000005471.15","ENSG00000005471",5244
"ABCB5",0,"grey","ENSG00000004846.16","ENSG00000004846",340273
"ABCB6",0,"grey","ENSG00000115657.12","ENSG00000115657",10058
"ABCB7",0,"grey","ENSG00000131269.15","ENSG00000131269",22
"ABCB8",0,"grey","ENSG00000197150.12","ENSG00000197150",11194
"ABCB9",0,"grey","ENSG00000150967.17","ENSG00000150967",23457
"ABCC1",0,"grey","ENSG00000103222.18","ENSG00000103222",4363
"ABCC10",0,"grey","ENSG00000124574.14","ENSG00000124574",89845
"ABCC11",0,"grey","ENSG00000121270.15","ENSG00000121270",85320
"ABCC2",0,"grey","ENSG00000023839.10","ENSG00000023839",1244
"ABCC3",0,"grey","ENSG00000108846.15","ENSG00000108846",8714
"ABCC4",0,"grey","ENSG00000125257.13","ENSG00000125257",10257
"ABCC5",0,"grey","ENSG00000114770.16","ENSG00000114770",10057
"ABCC6",0,"grey","ENSG00000091262.14","ENSG00000091262",368
"ABCC6P1",0,"grey","ENSG00000256340.8","ENSG00000256340",653190
"ABCC6P2",0,"grey","ENSG00000255277.3","ENSG00000255277",730013
"ABCC8",0,"grey","ENSG00000006071.11","ENSG00000006071",6833
"ABCC9",0,"grey","ENSG00000069431.10","ENSG00000069431",10060
"ABCD1",0,"grey","ENSG00000101986.11","ENSG00000101986",215
"ABCD2",0,"grey","ENSG00000173208.3","ENSG00000173208",225
"ABCD3",0,"grey","ENSG00000117528.11","ENSG00000117528",5825
"ABCD4",0,"grey","ENSG00000119688.20","ENSG00000119688",5826
"ABCE1",6,"red","ENSG00000164163.10","ENSG00000164163",6059
"ABCF1",24,"darkgrey","ENSG00000204574.12","ENSG00000204574",23
"ABCF2",6,"red","ENSG00000033050.7","ENSG00000033050",10061
"ABCF3",0,"grey","ENSG00000161204.11","ENSG00000161204",55324
"ABCG1",0,"grey","ENSG00000160179.18","ENSG00000160179",9619
"ABCG2",0,"grey","ENSG00000118777.10","ENSG00000118777",9429
"ABCG4",0,"grey","ENSG00000172350.9","ENSG00000172350",64137
"ABCG5",0,"grey","ENSG00000138075.11","ENSG00000138075",64240
"ABCG8",0,"grey","ENSG00000143921.6","ENSG00000143921",64241
"ABHD1",0,"grey","ENSG00000143994.13","ENSG00000143994",84696
"ABHD10",6,"red","ENSG00000144827.8","ENSG00000144827",55347
"ABHD11",0,"grey","ENSG00000106077.18","ENSG00000106077",83451
"ABHD11-AS1",0,"grey","ENSG00000225969.1","ENSG00000225969",NA
"ABHD12",0,"grey","ENSG00000100997.18","ENSG00000100997",26090
"ABHD12B",0,"grey","ENSG00000131969.14","ENSG00000131969",145447
"ABHD13",17,"grey60","ENSG00000139826.5","ENSG00000139826",84945
"ABHD14A",0,"grey","ENSG00000248487.8","ENSG00000248487",25864
"ABHD14A-ACY1",0,"grey","ENSG00000114786.15","ENSG00000114786",100526760
"ABHD14B",0,"grey","ENSG00000114779.19","ENSG00000114779",84836
"ABHD15",0,"grey","ENSG00000168792.4","ENSG00000168792",116236
"ABHD16A",0,"grey","ENSG00000204427.11","ENSG00000204427",7920
"ABHD17A",0,"grey","ENSG00000129968.15","ENSG00000129968",81926
"ABHD17B",6,"red","ENSG00000107362.13","ENSG00000107362",51104
"ABHD17C",0,"grey","ENSG00000136379.11","ENSG00000136379",58489
"ABHD2",17,"grey60","ENSG00000140526.16","ENSG00000140526",11057
"ABHD3",0,"grey","ENSG00000158201.9","ENSG00000158201",171586
"ABHD4",0,"grey","ENSG00000100439.10","ENSG00000100439",63874
"ABHD5",0,"grey","ENSG00000011198.7","ENSG00000011198",51099
"ABHD6",0,"grey","ENSG00000163686.13","ENSG00000163686",57406
"ABHD8",0,"grey","ENSG00000127220.5","ENSG00000127220",79575
"ABI1",0,"grey","ENSG00000136754.16","ENSG00000136754",10006
"ABI2",7,"black","ENSG00000138443.15","ENSG00000138443",10152
"ABI3",0,"grey","ENSG00000108798.8","ENSG00000108798",51225
"ABI3BP",0,"grey","ENSG00000154175.16","ENSG00000154175",25890
"ABL1",0,"grey","ENSG00000097007.17","ENSG00000097007",25
"ABL2",17,"grey60","ENSG00000143322.19","ENSG00000143322",27
"ABLIM1",0,"grey","ENSG00000099204.18","ENSG00000099204",3983
"ABLIM2",0,"grey","ENSG00000163995.18","ENSG00000163995",84448
"ABLIM3",0,"grey","ENSG00000173210.19","ENSG00000173210",22885
"ABO",0,"grey","ENSG00000175164.13","ENSG00000175164",28
"ABR",0,"grey","ENSG00000159842.14","ENSG00000159842",29
"ABRA",0,"grey","ENSG00000174429.3","ENSG00000174429",137735
"ABRACL",0,"grey","ENSG00000146386.7","ENSG00000146386",58527
"ABT1",0,"grey","ENSG00000146109.4","ENSG00000146109",29777
