,hgnc_symbol,ensembl_id
1,TSPAN6,ENSG00000000003
2,TNMD,ENSG00000000005
3,DPM1,ENSG00000000419
4,SCYL3,ENSG00000000457
5,C1orf112,ENSG00000000460
6,FGR,ENSG00000000938
7,CFH,ENSG00000000971
8,FUCA2,ENSG00000001036
9,GCLC,ENSG00000001084
10,NFYA,ENSG00000001167
11,STPG1,ENSG00000001460
12,NIPAL3,ENSG00000001461
13,LAS1L,ENSG00000001497
14,ENPP4,ENSG00000001561
15,SEMA3F,ENSG00000001617
16,CFTR,ENSG00000001626
17,ANKIB1,ENSG00000001629
18,CYP51A1,ENSG00000001630
19,KRIT1,ENSG00000001631
20,RAD52,ENSG00000002016
21,MYH16,ENSG00000002079
22,BAD,ENSG00000002330
23,LAP3,ENSG00000002549
24,CD99,ENSG00000002586
25,HS3ST1,ENSG00000002587
26,AOC1,ENSG00000002726
27,WNT16,ENSG00000002745
28,HECW1,ENSG00000002746
29,MAD1L1,ENSG00000002822
30,LASP1,ENSG00000002834
31,SNX11,ENSG00000002919
32,TMEM176A,ENSG00000002933
33,M6PR,ENSG00000003056
34,KLHL13,ENSG00000003096
35,CYP26B1,ENSG00000003137
36,ICA1,ENSG00000003147
37,DBNDD1,ENSG00000003249
38,ALS2,ENSG00000003393
39,CASP10,ENSG00000003400
40,CFLAR,ENSG00000003402
41,TFPI,ENSG00000003436
42,NDUFAF7,ENSG00000003509
43,RBM5,ENSG00000003756
44,MTMR7,ENSG00000003987
45,SLC7A2,ENSG00000003989
46,ARF5,ENSG00000004059
47,SARM1,ENSG00000004139
48,POLDIP2,ENSG00000004142
49,PLXND1,ENSG00000004399
50,AK2,ENSG00000004455
51,CD38,ENSG00000004468
52,FKBP4,ENSG00000004478
53,KDM1A,ENSG00000004487
54,RBM6,ENSG00000004534
55,CAMKK1,ENSG00000004660
56,RECQL,ENSG00000004700
57,CCDC132,ENSG00000004766
58,HSPB6,ENSG00000004776
59,ARHGAP33,ENSG00000004777
60,NDUFAB1,ENSG00000004779
61,PDK4,ENSG00000004799
62,SLC22A16,ENSG00000004809
63,ZMYND10,ENSG00000004838
64,ABCB5,ENSG00000004846
65,ARX,ENSG00000004848
66,SLC25A13,ENSG00000004864
67,ST7,ENSG00000004866
68,CDC27,ENSG00000004897
69,SLC4A1,ENSG00000004939
70,CALCR,ENSG00000004948
71,HCCS,ENSG00000004961
72,DVL2,ENSG00000004975
73,PRSS22,ENSG00000005001
74,UPF1,ENSG00000005007
75,SKAP2,ENSG00000005020
76,SLC25A5,ENSG00000005022
77,CCDC109B,ENSG00000005059
78,HOXA11,ENSG00000005073
79,POLR2J,ENSG00000005075
80,DHX33,ENSG00000005100
81,MEOX1,ENSG00000005102
82,THSD7A,ENSG00000005108
83,LIG3,ENSG00000005156
84,RPAP3,ENSG00000005175
85,ACSM3,ENSG00000005187
86,AC004381.6,ENSG00000005189
87,CIAPIN1,ENSG00000005194
88,SPPL2B,ENSG00000005206
89,FAM214B,ENSG00000005238
90,COPZ2,ENSG00000005243
91,PRKAR2B,ENSG00000005249
92,MSL3,ENSG00000005302
