"","moduleLabel","moduleColor","ensembl_id_TH","ensembl_id","entrez"
"A2M",22,"darkgreen","ENSG00000175899.14","ENSG00000175899",2
"AAK1",7,"black","ENSG00000115977.18","ENSG00000115977",22848
"AASDH",6,"red","ENSG00000157426.13","ENSG00000157426",132949
"AASDHPPT",6,"red","ENSG00000149313.10","ENSG00000149313",60496
"ABCB10",6,"red","ENSG00000135776.4","ENSG00000135776",23456
"ABCE1",6,"red","ENSG00000164163.10","ENSG00000164163",6059
"ABCF1",24,"darkgrey","ENSG00000204574.12","ENSG00000204574",23
"ABCF2",6,"red","ENSG00000033050.7","ENSG00000033050",10061
"ABHD10",6,"red","ENSG00000144827.8","ENSG00000144827",55347
"ABHD13",17,"grey60","ENSG00000139826.5","ENSG00000139826",84945
"ABHD17B",6,"red","ENSG00000107362.13","ENSG00000107362",51104
"ABHD2",17,"grey60","ENSG00000140526.16","ENSG00000140526",11057
"ABI2",7,"black","ENSG00000138443.15","ENSG00000138443",10152
"ABL2",17,"grey60","ENSG00000143322.19","ENSG00000143322",27
"ACACA",6,"red","ENSG00000278540.4","ENSG00000278540",31
"ACADM",18,"lightgreen","ENSG00000117054.13","ENSG00000117054",34
"ACADSB",7,"black","ENSG00000196177.12","ENSG00000196177",36
"ACAP2",17,"grey60","ENSG00000114331.12","ENSG00000114331",23527
"ACBD3",6,"red","ENSG00000182827.8","ENSG00000182827",64746
"ACBD5",7,"black","ENSG00000107897.18","ENSG00000107897",91452
"ACER3",7,"black","ENSG00000078124.11","ENSG00000078124",55331
"ACOX1",7,"black","ENSG00000161533.11","ENSG00000161533",51
"ACSL5",27,"white","ENSG00000197142.10","ENSG00000197142",51703
"ACTC1",26,"darkorange","ENSG00000159251.6","ENSG00000159251",70
"ACTG1P20",6,"red","ENSG00000241547.1","ENSG00000241547",NA
"ACTR2",17,"grey60","ENSG00000138071.13","ENSG00000138071",10097
"ACTR3",17,"grey60","ENSG00000115091.11","ENSG00000115091",10096
"ACVR1",14,"cyan","ENSG00000115170.13","ENSG00000115170",90
"ADAM10",7,"black","ENSG00000137845.14","ENSG00000137845",102
"ADAM17",6,"red","ENSG00000151694.12","ENSG00000151694",6868
"ADAMDEC1",3,"brown","ENSG00000134028.14","ENSG00000134028",27299
"ADAP2",3,"brown","ENSG00000184060.10","ENSG00000184060",55803
"ADAR",7,"black","ENSG00000160710.15","ENSG00000160710",103
"ADD3",6,"red","ENSG00000148700.13","ENSG00000148700",120
"ADGRF5",22,"darkgreen","ENSG00000069122.18","ENSG00000069122",221395
"ADGRL4",22,"darkgreen","ENSG00000162618.12","ENSG00000162618",64123
"ADIPOR2",6,"red","ENSG00000006831.9","ENSG00000006831",79602
"ADNP",6,"red","ENSG00000101126.15","ENSG00000101126",23394
"ADNP2",6,"red","ENSG00000101544.8","ENSG00000101544",22850
"ADSS",6,"red","ENSG00000035687.9","ENSG00000035687",159
